# problem  expected_activations_at_248fb8b61  expected_at_e07474dc1  kind
# generated from tstat-11279.db and tstat.db; both ends were run -i 100000 -tstat on
RNG106+2.p 1680 1922 probe
SYN607-1.p 1835 1833 probe
GRP660-12.p 193 199 probe
GRP660+2.p 193 199 probe
GRP660-11.p 195 197 probe
LAT006-1.p 219 307 probe
SWX217+1.p 712 741 probe
SYN561-1.p 1577 1965 probe
GRP082-1.p 129 113 probe
GRP501-1.p 131 185 probe
SWC393-1.p 2851 2843 probe
RNG080+1.p 2768 2774 probe
RNG119+4.p 2533 2553 probe
KLE017+1.p 703 705 probe
NUM433+3.p 2844 2922 probe
SWW712_1.p 1666 1668 probe
SYN612-1.p 2741 2735 probe
RNG109+1.p 1940 1942 probe
SEV540+1.p 1713 1735 probe
RNG080+2.p 2898 3409 probe
SYN611-1.p 2883 2881 probe
RNG121+1.p 2724 2690 probe
SWC014+1.p 3397 3399 probe
SWC394+1.p 3843 3787 probe
NUM425+1.p 4735 75570 lost
GEO306+1.p 2864 41314 lost
SEU359+2.p 9124 39172 lost
RNG029-3.p 1385 4218 lost
